"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"Guinea-Bissau",1615.71007191051,1495.20267001065,1733.0039395419,1575.70953924006,1441.99472878196,1421.69421386719,1525.16220925071,1606.88495427912,1597.10696688565,1741.58388449929,1824.45845170455,1527.14596280185,1669.87102716619,1664.63557572798,1649.47492009943,1896.04756303267,1653.64535245028,1589.78828568892,1750.61101740057,1774.60279430043,2082.60029740767,1797.36344770952,1755.43993030895,1576.12630948153,1963.0233931108,1690.04425603693,1507.17949884588,1494.09975363991,1312.83233087713,1847.81503018466,1410.98864746094,1568.11902965199
"Guinea",1722.17385160006,1668.070703751,1765.84767503005,1650.38964374249,1510.385939378,1485.00895182292,1607.94233116737,1628.73756760817,1585.56917630709,1702.56714180188,1736.88980024289,1692.2457431891,1708.90090238131,1767.13155580178,1732.91236134065,2024.81874593099,1763.79050073868,1781.90938626803,1814.61457237831,1913.98436247997,1946.77589455629,1761.80734018179,1863.10141538962,1686.33825370593,2128.77150472005,1710.247264373,1462.52513239934,1523.50387338492,1419.92308944311,1868.73788373898,1441.28545360076,1454.03150979067
"Benin",1242.45463679387,1116.39872233073,1038.25727257362,990.572300055088,841.628114357973,1039.00202042017,1115.73907783704,1037.43041053185,1051.12781857222,1190.13284067007,1193.50016432542,1028.25654484675,1331.49696702224,1014.03479316907,1093.17374048478,1240.27753468049,1202.98396183894,1146.06365027794,1125.32045648037,1170.2501549354,1219.34404422075,1045.42825865134,1004.75827104617,1127.74814703526,1255.59328988882,1151.24835518079,1077.2365253155,1069.3994516226,1250.55346992688,1244.08781863482,1174.20962289663,1237.78073041867
"Djibouti",402.899440220424,292.968880789621,479.358285086496,474.226571219308,477.450234549386,231.550541469029,373.895098005022,440.185468401228,398.674700055804,437.101501464844,543.545248849051,415.754534040179,457.95021711077,398.861476353237,469.37797328404,432.924516950335,432.408865792411,450.535234723772,466.902753557478,416.203290666853,400.407828194754,405.499947684152,368.877035958426,295.732500348772,350.182761056083,380.618342808315,369.429857526507,454.106052943638,328.012320382254,304.561859130859,241.163447788783,391.887581961496
"Somalia",358.950013502589,240.217182303375,454.164070849149,435.028963124977,279.742442005085,266.88752653014,354.976818948422,313.741716924703,376.220871187606,284.075918989361,419.331482725323,311.458533700907,295.622420041066,264.582034776796,362.219186386972,390.120702347665,320.246825560084,279.532283890922,691.29342953664,330.605325410951,323.437718733302,308.268219210067,302.438838526888,388.673453924791,379.084647772447,428.166289059621,302.167558778007,480.485223518228,331.628620579558,302.51680194207,304.91890381867,340.110406011905
"Ghana",1460.21159480168,1310.71350097656,1212.6499594664,1138.60452818259,904.952217297676,1292.22260069236,1284.64739911984,1167.16425499549,1317.35693124624,1248.77196170122,1399.78853744116,1129.87834441356,1426.87425192808,1065.72937011719,1207.95137532552,1208.70708446014,1321.36616242238,1300.13014808068,1261.64002560347,1128.37095446464,1381.84125225361,1191.67295563527,1065.2544125288,1236.28088222406,1335.15258319561,1273.67877588517,1213.18782473833,1146.36694335938,1290.80065291967,1319.605858436,1166.19978841146,1297.33506266276
"Togo",1410.69367133247,1203.91476101345,1099.47004869249,1024.30521647135,874.537875705295,1164.58508639865,1240.26421780056,1102.11606174045,1202.64835951063,1287.48495144314,1331.39074367947,1107.52532280816,1420.38321940104,1045.42475721571,1198.90863715278,1218.17123074002,1353.3103773329,1211.60993448893,1230.49183485243,1189.44947306315,1305.79682752821,1105.86036851671,1011.1331753201,1225.71782769097,1347.11370849609,1261.9860534668,1137.65698242188,1125.8248562283,1348.11296929253,1281.84153238932,1259.11068386502,1326.17225477431
"Central African Republic",1417.03065909591,1388.45118892894,1379.80727820303,1353.56200364057,1281.50813233619,1193.80846165676,1356.64875195073,1254.17280249502,1249.26320962345,1411.40341246362,1373.0345584645,1399.39568343817,1431.50692539589,1375.54724420286,1357.88161872415,1339.63623555501,1364.37557235419,1377.72368935978,1309.97602963915,1469.12509364708,1503.73531326593,1253.9370135139,1346.15724421482,1360.57333613377,1406.2186348111,1320.32772587795,1300.9501211129,1422.67013938754,1436.83610923617,1369.1455485026,1216.44136256798,1448.64956066655
"Cote d'Ivoire",1538.68843512579,1426.7682220739,1294.1306376326,1265.61794120019,993.517945455849,1381.1349067338,1425.90423695975,1202.12318014442,1391.46285254802,1373.46631979286,1496.49078873101,1240.26975859196,1328.02780179365,1164.64120063432,1272.40383379175,1386.50908807877,1431.44923442876,1395.29215009497,1211.13962603928,1283.67237448036,1418.55352279243,1304.31064206745,1175.17882964808,1195.19631202068,1456.38069586798,1280.09772120485,1217.21686686945,1241.9206867743,1237.07838369947,1402.08903405426,1147.07419747169,1398.21389518528
"Sierra Leone",2679.86454101563,2557.8269921875,2656.378046875,2407.80364257813,2406.64461914062,2244.32064453125,2248.0555859375,2334.02459960937,2333.75592773437,2306.13260742188,2478.5143359375,2279.65349609375,2306.612109375,2509.99736328125,2440.686015625,2581.33265625,2498.74609375,2548.95032226562,2411.50151367187,2730.8852734375,2441.33928710938,2392.3491796875,2419.69159179687,2290.89838867188,2656.76661132812,2202.4773828125,1870.48172851563,2053.99446289063,1790.98736328125,2317.89635742188,1530.17785644531,1655.54866210938
